title_system,web_link
Робърт Дауни Джуниър,https://bg.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B1%D1%8A%D1%80%D1%82_%D0%94%D0%B0%D1%83%D0%BD%D0%B8_%D0%94%D0%B6%D1%83%D0%BD%D0%B8%D1%8A%D1%80
Крис Евънс,https://bg.wikipedia.org/wiki/%D0%9A%D1%80%D0%B8%D1%81_%D0%95%D0%B2%D1%8A%D0%BD%D1%81
Марк Ръфало,https://bg.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%D0%BA_%D0%A0%D1%8A%D1%84%D0%B0%D0%BB%D0%BE
Скарлет Йохансон,https://bg.wikipedia.org/wiki/%D0%A1%D0%BA%D0%B0%D1%80%D0%BB%D0%B5%D1%82_%D0%99%D0%BE%D1%85%D0%B0%D0%BD%D1%81%D0%BE%D0%BD
Сам вкъщи,https://bg.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BC_%D0%B2%D0%BA%D1%8A%D1%89%D0%B8
Златен глобус,https://bg.wikipedia.org/wiki/%D0%97%D0%BB%D0%B0%D1%82%D0%B5%D0%BD_%D0%B3%D0%BB%D0%BE%D0%B1%D1%83%D1%81
Награди на филмовата академия на САЩ,https://bg.wikipedia.org/wiki/%D0%9D%D0%B0%D0%B3%D1%80%D0%B0%D0%B4%D0%B8_%D0%BD%D0%B0_%D1%84%D0%B8%D0%BB%D0%BC%D0%BE%D0%B2%D0%B0%D1%82%D0%B0_%D0%B0%D0%BA%D0%B0%D0%B4%D0%B5%D0%BC%D0%B8%D1%8F_%D0%BD%D0%B0_%D0%A1%D0%90%D0%A9
Мила Кунис,https://bg.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BB%D0%B0_%D0%9A%D1%83%D0%BD%D0%B8%D1%81
Модерно семейство,https://bg.wikipedia.org/wiki/%D0%9C%D0%BE%D0%B4%D0%B5%D1%80%D0%BD%D0%BE_%D1%81%D0%B5%D0%BC%D0%B5%D0%B9%D1%81%D1%82%D0%B2%D0%BE
Би Би Си,https://bg.wikipedia.org/wiki/%D0%91%D0%B8_%D0%91%D0%B8_%D0%A1%D0%B8
Реклама,https://bg.wikipedia.org/wiki/%D0%A0%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D0%B0
Световна организация за интелектуална собственост,https://bg.wikipedia.org/wiki/%D0%A1%D0%B2%D0%B5%D1%82%D0%BE%D0%B2%D0%BD%D0%B0_%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F_%D0%B7%D0%B0_%D0%B8%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%BA%D1%82%D1%83%D0%B0%D0%BB%D0%BD%D0%B0_%D1%81%D0%BE%D0%B1%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BE%D1%81%D1%82
Република Кипър,https://bg.wikipedia.org/wiki/%D0%A0%D0%B5%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0_%D0%9A%D0%B8%D0%BF%D1%8A%D1%80
Ирландия,https://bg.wikipedia.org/wiki/%D0%98%D1%80%D0%BB%D0%B0%D0%BD%D0%B4%D0%B8%D1%8F
Саудитска Арабия,https://bg.wikipedia.org/wiki/%D0%A1%D0%B0%D1%83%D0%B4%D0%B8%D1%82%D1%81%D0%BA%D0%B0_%D0%90%D1%80%D0%B0%D0%B1%D0%B8%D1%8F
Венецуела,https://bg.wikipedia.org/wiki/%D0%92%D0%B5%D0%BD%D0%B5%D1%86%D1%83%D0%B5%D0%BB%D0%B0 
Хърватия,https://bg.wikipedia.org/wiki/%D0%A5%D1%8A%D1%80%D0%B2%D0%B0%D1%82%D0%B8%D1%8F
НАТО,https://bg.wikipedia.org/wiki/%D0%9D%D0%90%D0%A2%D0%9E
Водноелектрическа централа,https://bg.wikipedia.org/wiki/%D0%92%D0%BE%D0%B4%D0%BD%D0%BE%D0%B5%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0_%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D0%B0
Държавно земеделско стопанство,https://bg.wikipedia.org/wiki/%D0%94%D1%8A%D1%80%D0%B6%D0%B0%D0%B2%D0%BD%D0%BE_%D0%B7%D0%B5%D0%BC%D0%B5%D0%B4%D0%B5%D0%BB%D1%81%D0%BA%D0%BE_%D1%81%D1%82%D0%BE%D0%BF%D0%B0%D0%BD%D1%81%D1%82%D0%B2%D0%BE
Закон за трудовата поземлена собственост,https://bg.wikipedia.org/wiki/%D0%97%D0%B0%D0%BA%D0%BE%D0%BD_%D0%B7%D0%B0_%D1%82%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D1%82%D0%B0_%D0%BF%D0%BE%D0%B7%D0%B5%D0%BC%D0%BB%D0%B5%D0%BD%D0%B0_%D1%81%D0%BE%D0%B1%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BE%D1%81%D1%82
Аграрно-промишлен комплекс,https://bg.wikipedia.org/wiki/%D0%90%D0%B3%D1%80%D0%B0%D1%80%D0%BD%D0%BE-%D0%BF%D1%80%D0%BE%D0%BC%D0%B8%D1%88%D0%BB%D0%B5%D0%BD_%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%81
Фестивал,https://bg.wikipedia.org/wiki/%D0%A4%D0%B5%D1%81%D1%82%D0%B8%D0%B2%D0%B0%D0%BB
Лукойл Нефтохим Бургас,https://bg.wikipedia.org/wiki/%D0%9B%D1%83%D0%BA%D0%BE%D0%B9%D0%BB_%D0%9D%D0%B5%D1%84%D1%82%D0%BE%D1%85%D0%B8%D0%BC_%D0%91%D1%83%D1%80%D0%B3%D0%B0%D1%81
Роял Дъч Шел,https://bg.wikipedia.org/wiki/%D0%A0%D0%BE%D1%8F%D0%BB_%D0%94%D1%8A%D1%87_%D0%A8%D0%B5%D0%BB
Ракша Бандан,https://bg.wikipedia.org/wiki/%D0%A0%D0%B0%D0%BA%D1%88%D0%B0_%D0%91%D0%B0%D0%BD%D0%B4%D0%B0%D0%BD
